Number	qtype	Al	Ti	Li	Ge	Sr
5781	skarn	49.155	0.572	0.54	0.534	0.146
5782	skarn	72.509	1.535	0.03	0.591	54.28
5783	skarn	810	2.955	6.729	3.154	10.728
5784	skarn	88.153	10.626	0.702	1.486	0.782
5785	skarn	70.019	4.099	0.429	0.985	0.429
5786	skarn	85.482	12.285	5.113	1.301	0.203
5787	skarn	97.103	3.228	0.397	1.002	0.94
5788	skarn	61.765	2.447	0.093	0.834	1.631
5789	skarn	27.118	2.307	0.207	1.179	0.262
5790	skarn	967	13.856	14.505	11.676	1.035
5791	skarn	1312	40.452	3.56	5.769	8.136
5792	skarn	421	5.05	8.129	2.66	0.728
5793	skarn	23.951	8.05	2.314	1.442	0.002
5794	skarn	465	3.075	5.225	2.07	0.419
5795	skarn	73.071	21.022	0.837	2.276	0.624
5796	skarn	156	2.675	1.122	2.721	1.582
5797	skarn	241	1.461	1.309	1.532	5.582
5798	skarn	425	0.827	1.282	2.69	5.017
5799	skarn	138	0.723	0.6	2.184	0.702
5800	skarn	146	1.163	2.057	2.253	1.328
5801	skarn	144	1.552	1.07	1.778	1.232
5802	skarn	223	6.532	6.347	9.029	1.02
5803	skarn	247	3.677	1.508	2.207	2.166
5804	skarn	166	1.539	0.336	0.457	3.43
5805	skarn	92.734	1.691	4.669	0.973	9.608
5806	skarn	61.073	1.212	1.308	0.944	1.066
5807	skarn	99.611	1.599	0.423	1.985	5.052
5808	skarn	1621	3.876	53.215	3.266	13.792
5809	skarn	1413	1.348	46.756	17.763	2.02
5810	skarn	1017	1.169	26.237	11.348	4.741
5811	skarn	461	2.605	7.013	6.037	1.6
5812	skarn	197	1.597	2.983	1.878	0.374
5813	skarn	306	0.624	4.617	1.174	5.068
5814	skarn	32.175	1.802	1.076	0.938	8.989
5815	skarn	11.325	0.181	0.073	0.553	1.583
5816	skarn	1843	0.715	59.497	4.303	13.562
5817	skarn	20.189	0.261	0.292	0.813	0.389
5818	skarn	596	0.824	8.81	2.663	6.71
5819	skarn	97.622	1.874	1.57	1.256	4.192
5820	skarn	159	1.764	0.956	0.757	11.21
5821	skarn	22.874	2.464	0.058	0.738	2.964
5822	skarn	62.826	3.599	0.309	0.535	0.443
5823	skarn	8.581	1.582	0.099	0.563	3.714
5824	skarn	772	1.352	14.877	2.687	7.92
5825	skarn	77.613	2.302	2.791	0.651	1.087
5826	skarn	1359	6.293	25.652	5.545	6.67
5827	skarn	1542	8.599	33.045	5.95	12.929
5828	skarn	1043	3.616	21.161	5.624	7.854
5829	skarn	1277	3.85	10.374	5.294	25.337
5830	skarn	2353	1.966	1.014	1.665	4.644
5831	skarn	224	2.47	0.438	0.735	19.737
5832	skarn	768	2.809	4.199	1.902	7.419
5833	skarn	139	2.247	0.325	0.51	4.455
5834	skarn	674	13.667	12.917	3.808	8.482
5835	skarn	452	2.641	5.214	3.338	2.882
5836	skarn	909	6.763	32.136	5.192	2.495
5837	skarn	164	1.068	0.732	3.385	7.735
5838	skarn	2254	4.631	66.271	13.535	19.569
5839	skarn	241	0.731	4.541	2.724	0.548
5840	skarn	843	0.643	25.816	8.989	4.02
5841	skarn	220	0.732	3.779	4.318	0.822
5842	skarn	1721	7.231	12.36	9.809	15.51
5843	skarn	2321	10.711	29.528	18.403	3.728
5844	skarn	2247	5.26	20.519	5.508	7.802
5845	skarn	3545	4.469	124	23.148	12.841
5846	skarn	3579	2.059	114	17.818	19.349
5847	skarn	3064	1.922	108	19.126	12.72
5848	skarn	1604	0.955	52.676	8.103	8.4
5849	skarn	1929	0.737	64.43	9.268	10.67
5850	skarn	613	0.835	13.726	3.352	8.35
5851	skarn	1275	6.613	8.979	3.322	5.335
5852	skarn	256	0.51	3.208	1.235	0.755
5853	skarn	569	1.969	16.501	2.999	0.808
5854	skarn	200	2.037	2.133	4.833	0.569
5855	skarn	1191	12.883	16.199	6.248	3.63
5856	skarn	483	1.448	4.811	5.484	1.54
5857	skarn	306	2.235	3.253	3.677	0.298
5858	skarn	944	5.493	7.131	4.853	2.999
5859	skarn	536	9.103	16.011	8.649	0.033
5860	skarn	517	3.766	10.109	3.722	1.607
5861	skarn	48.049	1.05	0.37	1.778	0.327
5862	skarn	99.008	25.464	0.568	0.872	11.455
5863	skarn	139	30.42	1.786	0.809	1.248
5864	skarn	253	2.92	6.279	1.484	0.841
5865	skarn	898	2.786	44.767	4.494	1.064
5866	skarn	373	10.715	17.935	4.342	0.264
5867	skarn	142	4.207	2.042	3.134	2.353
5868	skarn	83.786	3.353	0.674	1.063	1.137
5869	skarn	832	5.692	22.512	7.114	2.435
5870	skarn	1453	4.72	39.457	21.093	5.769
5871	skarn	472	1.527	5.793	8.775	3.244
5872	skarn	1716	11.093	27.312	16.5	3.375
5873	skarn	61.237	1.405	0.297	2.676	0.311
5874	skarn	99.974	1.411	0.959	3.866	1.013
5875	skarn	289	0.977	9.054	3.792	0.502
5876	skarn	570	3.195	7.775	5.79	13.537
5877	skarn	139	1.137	1.893	2.891	2.035
5878	skarn	221	1.02	0.67	2.289	1.178
5879	skarn	245	0.683	4.579	2.234	3.613
5880	skarn	117	1.187	1.794	0.776	2.846
5881	skarn	14.592	0.967	0.056	1.013	0.049
5882	skarn	239	3.62	6.299	6.343	1.105
5883	skarn	119	3.621	0.684	1.344	2.005
5884	skarn	165	1.17	3.618	3.919	0.463
5885	skarn	719	3.261	21.429	5.532	0.245
5886	skarn	64.682	6.412	0.2	0.754	10.141
5887	skarn	154	2.182	0.441	0.803	0.949
5888	skarn	80.14	0.911	1.038	0.747	0.519
5889	skarn	30.847	0.991	0.255	0.637	0.007
5890	skarn	3312	2.279	101	6.416	8.295
5891	skarn	234	2.969	8.775	1.23	0.014
5892	skarn	210	2.507	5.649	1.604	0.035
5893	skarn	84.692	1.697	0.759	1.798	2.649
5894	skarn	2244	1.175	27.848	3.572	24.323
5895	skarn	74.516	2.537	0.906	1.438	0.411
5896	skarn	184	1.962	0.745	1.2	2.704
5897	skarn	61.155	1.033	0.247	1.138	2.827
5898	skarn	81.522	2.138	0.24	0.98	1.084
5899	skarn	418	11.754	5.879	7.081	5.908
5900	skarn	86.151	11.426	0.397	2.461	2.211
5901	skarn	81.375	13.602	0.537	0.803	6.034
5902	skarn	65.595	4.529	0.574	0.545	5.401
5903	skarn	114	12.979	3.392	0.73	1.284
5904	skarn	57.499	6.779	3.498	0.582	0.052
5905	skarn	597	0.832	4.735	3.464	5.777
5906	skarn	341	1.445	4.524	8.004	1.735
5907	skarn	651	3.078	15.951	11.814	0.737
5908	skarn	82.64	0.263	0.258	1.086	0.875
5909	skarn	42.842	0.206	0.597	1.521	0.057
5910	skarn	159	0.265	1.459	1.722	2.791
5911	skarn	1400	2.202	7.369	3.281	3.5
5912	skarn	629	1.203	8.362	3.114	3.953
5913	skarn	253	0.418	3.078	1.965	3.229
5914	skarn	269	0.269	4.606	2.237	2.571
5915	skarn	144	1.249	5.662	0.985	2.075
5916	skarn	966	0.543	23.66	6.036	6.398
5917	skarn	2450	12.783	12.835	4.845	4.752
5918	skarn	2788	19.101	26.09	5.007	3.843
5919	skarn	76.998	1.868	0.555	0.588	2.235
5920	skarn	53.787	4.105	0.162	0.465	5.337
5921	skarn	27.226	2.28	0.29	0.538	0.779
5922	skarn	450	1.859	10.01	2.398	3.67
5923	skarn	77.574	2.429	2.613	0.538	0.057
5924	skarn	90.133	2.172	2.16	0.48	0.114
5925	skarn	255	2.8	1.008	1.656	19.841
5926	skarn	235	2.328	2.838	0.897	0.487
5927	skarn	168	0.801	0.206	1.557	2.006
5928	skarn	1015	6.89	14.266	9.166	4.108
5929	skarn	258	0.774	3.449	4.984	1.174
5930	skarn	1581	13.27	12.593	18.344	5.128
5931	skarn	613	2.722	8.616	5.029	3.587
5932	skarn	1254	22.285	12.872	8.041	5.336
5933	skarn	365	7.38	3.024	4.049	2.221
5934	skarn	896	16.711	10.242	4.15	1.995
5935	skarn	379	6.096	13.534	3.244	0.144
5936	skarn	382	6.327	14.584	3.603	0.322
5937	skarn	126	1.007	2.628	1.638	0.396
5938	skarn	60.598	1.6	0.916	5.668	0.139
5939	skarn	511	1.533	8.663	7.134	0.956
5940	skarn	291	9.7	2.381	4.35	2.219
5941	skarn	2376	22.471	8.178	6.448	12.893
5942	skarn	34.181	0.821	0.055	1.22	2.646
